Word,Meaning,Category
alastin,whore,adjective
Bagul butcha,Crazy boy,noun
Bewakoof,Stupid,noun
Bhen da shola,Sister's Pussy,adjective
Bhen Da Yaar,Sister's Boy Friend,noun
Bhenchod,Sister Fucker,verb
Bhenchode,Sister Fucker,verb
bhonsdu,ass sucker,verb
Bibi di fudi,Grandmothers pussy,adjective
bokki,pussy,verb
Bondu,Gay,noun
bondu,homosexual,verb
bund,ass,noun
Bund,Ass,adjective
bund de,let me fuck your ass,noun
bund friction,fucking eachothers asses,noun
Bund Mara,Get ass fucked,verb
Bund marr,Fuck the ass,verb
chaval,scoundrel,noun
Chitta Bander / Kalla Bander,White Monkey / Black Monkey,verb
Chitterchort,Bum Shagger,adjective
choos mera badaam,suck my nuts,noun
Chupa,Cock sucker,verb
chutha,vagina,noun
Chutiyaa,"Idiot, Asshole",noun
chuttiya,shifty cunt,verb
dallah,pimp,adjective
Dhila lan de padiash,born by lose dick,verb
Fooduu,Dumbass,noun
Fudda daai da,Caretaker's pussy,adjective
fuddi hayon da,pussy sucker,verb
fudi,pussy,verb
Fudi chut,Lick pussy,noun
Fudi da tataa,Testies of vagina,adjective
fudi fry karna,making out,verb
fudi hyounda,pussy lips,noun
gand,ass,verb
gandu,gay/botty man,noun
Gandu,Gay,adjective
ganndu,gay,adjective
Gashti,Whore,verb
ghashti,bitch,adjective
Giichi toh fadh ke mrrodh du,I will grab you from your neck,verb
haram da,son of a bastard,noun
harami saale,son of bitch,noun
Haramjada,Bastard,adjective
Jaa apne  braah nu chod laa,Go fuck your brother,verb
kala lulla pi,drink black dick,noun
kanjar,male prostitue,adjective
Kanjar,Male Whore,adjective
Kanjari,Female Whore,adjective
Kenjer,Fucker,verb
Khadi madi pudi,Go fuck your mother,noun
Khota,Donkey,adjective
kissey kuti ma da puttar,some bitch mothers son,adjective
Klatch,Idiot/dickhead,verb
Kudichod,Daughter fucker,noun
Kuta,Dog,noun
kuta,dog,verb
Kutha,Male Dog,noun
kuthay da puthar,son of a dog,adjective
Kuthi,Female Dog,adjective
kuti,"female dog, bitch",adjective
Laan tare mow nee,Your mums dick,verb
lan chat,lick cock,adjective
lan choos,suck cock,noun
Lauda,Dick,noun
Lul,Dick,adjective
lula bahonder tup,go suck monkey dick,verb
lula chooshe,suck dick,adjective
Lun,Dick,noun
Lun choos,Suck my cock,noun
Lun Chung,Suck Dick,noun
Lun kurra how gaya,I have a hard on,noun
lun te charrh,sit on my dick,noun
Lund,Dick,adjective
Lund Chuss,Suck Dick,verb
Lunni,Small dick,verb
Ma chod,Mother fucker,adjective
ma di podi,mums fanny,verb
maa-jhouda,motherfucker,noun
Maan Da Yaar,Mother's Boy Friend,noun
MaanChod,Mother Fucker,adjective
Mamai,Boobs,adjective
Mamai Chuss,Suck Boobs,adjective
mamai patta,grope  tits,adjective
mango,dirty little shit,noun
mao ni puddi,your mums vagina,adjective
matarchod,fuck ur mother,verb
Mau ni yakk,Mother fucker,adjective
Meh tera tueh vich aangliyan devan,Im gonna finger ur ass,noun
meh teri ma de pudi talsa,i will fry your mums pussy,noun
Meh teri ma di fudi de vich soor bharaya,I stuck a pig in your mums fanny,verb
Menu zor nal lan mar,Fuck me hard,verb
Mera lan sakht ah,My dick is hard,noun
Mera lan tera tueh ki paarsi,My dick is gonna rip ur ass,adjective
Mera lun choos ta aangly mar,Suck my dick and finger me,noun
mera lund teri bund de betch,my dick in ur ass,verb
mere lund tey charr ke nach!,get on my cock and dance!,adjective
Meri Tutti Kha,Eat my shit,verb
Mor bna du tera saliya,I will make your pea bastard,adjective
Mume,Breast,verb
Muth Maar,Masturbate,verb
nuts ko suck kurrow,suck my nuts,verb
pad mar,do a fart,adjective
Pan da yaar,Sister's friend or sister fucker,verb
Panchod salaa,Fucking Bastard,verb
penchod,sister fucker,noun
Peshaab,Piss,verb
phen chodtha,sister fuck,adjective
poo,tatti,verb
Pud,Fart,adjective
Puddu,Idiot,verb
Pudhi avandeya,Cunt (male),noun
Pudi,Pussy,noun
randi,slut/whore,verb
soor,pig,adjective
Tatte,Testicals,noun
tatte chaude,wide separated testes,adjective
tatte fad le mera,grab my balls,adjective
tatte fad lo,hold my balls,adjective
tatte hayon da,testis sucker,adjective
taxi,slut,adjective
Teri Bhen Dee Fuddi Mari,I'll fuck your sister,noun
teri bhen di ghusi,your sisters pussy,adjective
teri bund ch lakad,fuck ur ass,adjective
Teri bund marni aa,I wanna fuck your ass,noun
teri fudi wich lul marya,i want to fuck you,adjective
Teri ma da ghusa,Your mothers pussy,adjective
Teri ma di khali phudi,your mums black cunt,noun
Teri ma the fudi,Your mom's pussy,verb
teri maa da fudda,your's mother big vagina,noun
teri maa da posrha,your's mother vagina,noun
Teri maa dai ccholay,Your mothers balls,noun
teri maa dee tutee swaad ya,your mom's shit taste good,adjective
Teri maa di gandi phuddi,Your mums dirty fanny,adjective
Teri Maa Di Koosii Kay Uppar !,Up Your Mothers Ass!,noun
teri maa di pudi vich lath,leg in your moms pussy,noun
teri maa nu lund,cock to your mother,adjective
Teri Maan Dee Fuddi Mari,I'll fuck your mother,adjective
teri paan dee lund,your sister's cock,adjective
Teri paan di fudi parrne,im goin to rip your sister pussy,noun
teri paen nu lan,dick in your sisters pussy,verb
Teri pain dha pahraya hoya phudda,Your sisters ripped pussy,adjective
teri pen da pudda,your sisters pussy,noun
terri ma di fuid parne,i am gonna rip your mom's pussy,noun
topa,dick head,verb
Topa,Dickhead,verb
Topa te beja,Sat on the top of my cock,noun
Tu Bhen Da Yaar,You are your sister's boyfriend,adjective
Tu Maan Da Yaar,You are your mother's boyfriend,noun
tu vich leni daa.,u fucked in womb.,noun
Tutta,One of your balls,noun
Tuttay,balls,adjective
Klun,Bastard,noun
Chalaaki, Clever person, noun
Jatt, Strong proud person, noun
Vaelaarh, Lazy person, noun